age,disease,sex,prevalence
50,dem,male,0.0095888
51,dem,male,0.0095888
52,dem,male,0.0095888
53,dem,male,0.0095888
54,dem,male,0.0095888
55,dem,male,0.0095888
56,dem,male,0.0095888
57,dem,male,0.0095888
58,dem,male,0.0095888
59,dem,male,0.0095888
60,dem,male,0.0095888
61,dem,male,0.0095888
62,dem,male,0.0095888
63,dem,male,0.0095888
64,dem,male,0.0095888
65,dem,male,0.0095888
66,dem,male,0.0095888
67,dem,male,0.0095888
68,dem,male,0.0095888
69,dem,male,0.0095888
70,dem,male,0.0240516
71,dem,male,0.0240516
72,dem,male,0.0240516
73,dem,male,0.0240516
74,dem,male,0.0240516
75,dem,male,0.0532464
76,dem,male,0.0532464
77,dem,male,0.0532464
78,dem,male,0.0532464
79,dem,male,0.0532464
80,dem,male,0.1079212
81,dem,male,0.1079212
82,dem,male,0.1079212
83,dem,male,0.1079212
84,dem,male,0.1079212
85,dem,male,0.1299218
86,dem,male,0.1299218
87,dem,male,0.1299218
88,dem,male,0.1299218
89,dem,male,0.1299218
90,dem,male,0.1730977
91,dem,male,0.1730977
92,dem,male,0.1730977
93,dem,male,0.1730977
94,dem,male,0.1730977
95,dem,male,0.1914037
96,dem,male,0.1914037
97,dem,male,0.1914037
98,dem,male,0.1914037
99,dem,male,0.1914037
100,dem,male,0.1914037
50,chd,male,0.1092893
51,chd,male,0.1092893
52,chd,male,0.1092893
53,chd,male,0.1092893
54,chd,male,0.1092893
55,chd,male,0.1092893
56,chd,male,0.1092893
57,chd,male,0.1092893
58,chd,male,0.1092893
59,chd,male,0.1092893
60,chd,male,0.1092893
61,chd,male,0.1092893
62,chd,male,0.1092893
63,chd,male,0.1092893
64,chd,male,0.1092893
65,chd,male,0.1092893
66,chd,male,0.1092893
67,chd,male,0.1092893
68,chd,male,0.1092893
69,chd,male,0.1092893
70,chd,male,0.1588922
71,chd,male,0.1588922
72,chd,male,0.1588922
73,chd,male,0.1588922
74,chd,male,0.1588922
75,chd,male,0.189572
76,chd,male,0.189572
77,chd,male,0.189572
78,chd,male,0.189572
79,chd,male,0.189572
80,chd,male,0.1979533
81,chd,male,0.1979533
82,chd,male,0.1979533
83,chd,male,0.1979533
84,chd,male,0.1979533
85,chd,male,0.1663172
86,chd,male,0.1663172
87,chd,male,0.1663172
88,chd,male,0.1663172
89,chd,male,0.1663172
90,chd,male,0.1415343
91,chd,male,0.1415343
92,chd,male,0.1415343
93,chd,male,0.1415343
94,chd,male,0.1415343
95,chd,male,0.149588
96,chd,male,0.149588
97,chd,male,0.149588
98,chd,male,0.149588
99,chd,male,0.149588
100,chd,male,0.149588
50,str,male,0.052228
51,str,male,0.052228
52,str,male,0.052228
53,str,male,0.052228
54,str,male,0.052228
55,str,male,0.052228
56,str,male,0.052228
57,str,male,0.052228
58,str,male,0.052228
59,str,male,0.052228
60,str,male,0.052228
61,str,male,0.052228
62,str,male,0.052228
63,str,male,0.052228
64,str,male,0.052228
65,str,male,0.052228
66,str,male,0.052228
67,str,male,0.052228
68,str,male,0.052228
69,str,male,0.052228
70,str,male,0.0936355
71,str,male,0.0936355
72,str,male,0.0936355
73,str,male,0.0936355
74,str,male,0.0936355
75,str,male,0.1051272
76,str,male,0.1051272
77,str,male,0.1051272
78,str,male,0.1051272
79,str,male,0.1051272
80,str,male,0.1047921
81,str,male,0.1047921
82,str,male,0.1047921
83,str,male,0.1047921
84,str,male,0.1047921
85,str,male,0.1277313
86,str,male,0.1277313
87,str,male,0.1277313
88,str,male,0.1277313
89,str,male,0.1277313
90,str,male,0.1501018
91,str,male,0.1501018
92,str,male,0.1501018
93,str,male,0.1501018
94,str,male,0.1501018
95,str,male,0.4053196
96,str,male,0.4053196
97,str,male,0.4053196
98,str,male,0.4053196
99,str,male,0.4053196
100,str,male,0.4053196
50,dem,female,0.0177367
51,dem,female,0.0177367
52,dem,female,0.0177367
53,dem,female,0.0177367
54,dem,female,0.0177367
55,dem,female,0.0177367
56,dem,female,0.0177367
57,dem,female,0.0177367
58,dem,female,0.0177367
59,dem,female,0.0177367
60,dem,female,0.0177367
61,dem,female,0.0177367
62,dem,female,0.0177367
63,dem,female,0.0177367
64,dem,female,0.0177367
65,dem,female,0.0177367
66,dem,female,0.0177367
67,dem,female,0.0177367
68,dem,female,0.0177367
69,dem,female,0.0177367
70,dem,female,0.020166
71,dem,female,0.020166
72,dem,female,0.020166
73,dem,female,0.020166
74,dem,female,0.020166
75,dem,female,0.063793
