age,sex,proportion
50,male,0.096
51,male,0.096
52,male,0.096
53,male,0.096
54,male,0.096
55,male,0.097
56,male,0.097
57,male,0.097
58,male,0.097
59,male,0.097
60,male,0.086
61,male,0.086
62,male,0.086
63,male,0.086
64,male,0.086
65,male,0.076
66,male,0.076
67,male,0.076
68,male,0.076
69,male,0.076
70,male,0.073
71,male,0.073
72,male,0.073
73,male,0.073
74,male,0.073
75,male,0.067
76,male,0.067
77,male,0.067
78,male,0.067
79,male,0.067
80,male,0.066
81,male,0.066
82,male,0.066
83,male,0.066
84,male,0.066
85,male,0.059
86,male,0.059
87,male,0.059
88,male,0.059
89,male,0.059
90,male,0.046
91,male,0.046
92,male,0.046
93,male,0.046
94,male,0.046
95,male,0.046
96,male,0.046
97,male,0.046
98,male,0.046
99,male,0.046
100,male,0.046
50,female,0.052
51,female,0.052
52,female,0.052
53,female,0.052
54,female,0.052
55,female,0.054
56,female,0.054
57,female,0.054
58,female,0.054
59,female,0.054
60,female,0.057
61,female,0.057
62,female,0.057
63,female,0.057
64,female,0.057
65,female,0.06
66,female,0.06
67,female,0.06
68,female,0.06
69,female,0.06
70,female,0.059
71,female,0.059
72,female,0.059
73,female,0.059
74,female,0.059
75,female,0.061
76,female,0.061
77,female,0.061
78,female,0.061
79,female,0.061
80,female,0.059
81,female,0.059
82,female,0.059
83,female,0.059
84,female,0.059
85,female,0.052
86,female,0.052
87,female,0.052
88,female,0.052
89,female,0.052
90,female,0.038
91,female,0.038
92,female,0.038
93,female,0.038
94,female,0.038
95,female,0.038
96,female,0.038
97,female,0.038
98,female,0.038
99,female,0.038
100,female,0.038
